Case_ID,Prompt_ID,y_true,pred,target,metadata
CASE_0001,SUM_001,0,1,T1,task_only
CASE_0002,SUM_001,1,1,T1,task_only
CASE_0003,SUM_001,0,1,T1,task_only
CASE_0004,SUM_001,1,1,T1,task_only
CASE_0005,SUM_001,1,1,T1,task_only
CASE_0006,SUM_001,1,1,T1,task_only
CASE_0007,SUM_002,1,1,T1,task_only
CASE_0008,SUM_002,1,1,T1,task_only
CASE_0009,SUM_002,0,1,T1,task_only
CASE_0010,SUM_002,1,1,T1,task_only
CASE_0011,SUM_002,1,1,T1,task_only
CASE_0012,SUM_002,0,1,T1,task_only
CASE_0013,SUM_003,0,1,T1,task_only
CASE_0014,SUM_003,1,1,T1,task_only
CASE_0015,SUM_003,0,1,T1,task_only
CASE_0016,SUM_003,1,1,T1,task_only
CASE_0017,SUM_003,1,1,T1,task_only
CASE_0018,SUM_003,0,1,T1,task_only
CASE_0019,SUM_004,0,1,T1,task_only
CASE_0020,SUM_004,1,1,T1,task_only
CASE_0021,SUM_004,0,1,T1,task_only
CASE_0022,SUM_004,1,1,T1,task_only
CASE_0023,SUM_004,1,1,T1,task_only
CASE_0024,SUM_004,0,1,T1,task_only
CASE_0025,SUM_005,0,1,T1,task_only
CASE_0026,SUM_005,1,1,T1,task_only
CASE_0027,SUM_005,0,1,T1,task_only
CASE_0028,SUM_005,1,1,T1,task_only
CASE_0029,SUM_005,1,1,T1,task_only
CASE_0030,SUM_005,1,1,T1,task_only
CASE_0031,SUM_006,1,1,T1,task_only
CASE_0032,SUM_006,1,1,T1,task_only
CASE_0033,SUM_006,0,1,T1,task_only
CASE_0034,SUM_006,1,1,T1,task_only
CASE_0035,SUM_006,1,1,T1,task_only
CASE_0036,SUM_006,0,1,T1,task_only
CASE_0037,SUM_007,1,1,T1,task_only
CASE_0038,SUM_007,1,1,T1,task_only
CASE_0039,SUM_007,1,1,T1,task_only
CASE_0040,SUM_007,1,1,T1,task_only
CASE_0041,SUM_007,1,1,T1,task_only
CASE_0042,SUM_007,0,1,T1,task_only
CASE_0043,SUM_008,1,1,T1,task_only
CASE_0044,SUM_008,1,1,T1,task_only
CASE_0045,SUM_008,0,1,T1,task_only
CASE_0046,SUM_008,1,1,T1,task_only
CASE_0047,SUM_008,1,1,T1,task_only
CASE_0048,SUM_008,1,1,T1,task_only
CASE_0049,SUM_009,0,1,T1,task_only
CASE_0050,SUM_009,1,1,T1,task_only
CASE_0051,SUM_009,1,1,T1,task_only
CASE_0052,SUM_009,1,1,T1,task_only
CASE_0053,SUM_009,1,1,T1,task_only
CASE_0054,SUM_009,0,1,T1,task_only
CASE_0055,SUM_010,1,1,T1,task_only
CASE_0056,SUM_010,1,1,T1,task_only
CASE_0057,SUM_010,0,1,T1,task_only
CASE_0058,SUM_010,1,1,T1,task_only
CASE_0059,SUM_010,1,1,T1,task_only
CASE_0060,SUM_010,1,1,T1,task_only
CASE_0061,SUM_011,0,1,T1,task_only
CASE_0062,SUM_011,1,1,T1,task_only
CASE_0063,SUM_011,0,1,T1,task_only
CASE_0064,SUM_011,1,1,T1,task_only
CASE_0065,SUM_011,1,1,T1,task_only
CASE_0066,SUM_011,0,1,T1,task_only
CASE_0067,SUM_012,1,1,T1,task_only
CASE_0068,SUM_012,1,1,T1,task_only
CASE_0069,SUM_012,0,1,T1,task_only
CASE_0070,SUM_012,1,1,T1,task_only
CASE_0071,SUM_012,1,1,T1,task_only
CASE_0072,SUM_012,0,1,T1,task_only
CASE_0073,SUM_013,1,1,T1,task_only
CASE_0074,SUM_013,1,1,T1,task_only
CASE_0075,SUM_013,1,1,T1,task_only
CASE_0076,SUM_013,1,1,T1,task_only
CASE_0077,SUM_013,1,1,T1,task_only
CASE_0078,SUM_013,1,1,T1,task_only
CASE_0079,SUM_014,1,1,T1,task_only
CASE_0080,SUM_014,0,1,T1,task_only
CASE_0081,SUM_014,1,1,T1,task_only
CASE_0082,SUM_014,1,1,T1,task_only
CASE_0083,SUM_014,1,1,T1,task_only
CASE_0084,SUM_014,1,1,T1,task_only
CASE_0085,SUM_015,0,1,T1,task_only
CASE_0086,SUM_015,1,1,T1,task_only
CASE_0087,SUM_015,0,1,T1,task_only
CASE_0088,SUM_015,1,1,T1,task_only
CASE_0089,SUM_015,1,1,T1,task_only
CASE_0090,SUM_015,0,1,T1,task_only
CASE_0091,SUM_016,1,1,T1,task_only
CASE_0092,SUM_016,1,1,T1,task_only
CASE_0093,SUM_016,0,1,T1,task_only
CASE_0094,SUM_016,1,1,T1,task_only
CASE_0095,SUM_016,1,1,T1,task_only
CASE_0096,SUM_016,0,1,T1,task_only
CASE_0097,SUM_017,1,1,T1,task_only
CASE_0098,SUM_017,1,1,T1,task_only
CASE_0099,SUM_017,1,1,T1,task_only
CASE_0100,SUM_017,1,1,T1,task_only
CASE_0101,SUM_017,1,1,T1,task_only
CASE_0102,SUM_017,0,1,T1,task_only
CASE_0103,SUM_018,1,1,T1,task_only
CASE_0104,SUM_018,1,1,T1,task_only
CASE_0105,SUM_018,1,1,T1,task_only
CASE_0106,SUM_018,1,1,T1,task_only
CASE_0107,SUM_018,1,1,T1,task_only
CASE_0108,SUM_018,0,1,T1,task_only
CASE_0109,SUM_019,0,1,T1,task_only
CASE_0110,SUM_019,1,1,T1,task_only
CASE_0111,SUM_019,0,1,T1,task_only
CASE_0112,SUM_019,1,1,T1,task_only
CASE_0113,SUM_019,1,1,T1,task_only
CASE_0114,SUM_019,1,1,T1,task_only
CASE_0115,SUM_020,1,1,T1,task_only
CASE_0116,SUM_020,1,1,T1,task_only
CASE_0117,SUM_020,0,1,T1,task_only
CASE_0118,SUM_020,1,1,T1,task_only
CASE_0119,SUM_020,1,1,T1,task_only
CASE_0120,SUM_020,1,1,T1,task_only
CASE_0121,QA_001,0,0,T1,task_only
CASE_0122,QA_001,1,0,T1,task_only
CASE_0123,QA_001,1,0,T1,task_only
CASE_0124,QA_001,1,0,T1,task_only
CASE_0125,QA_001,1,0,T1,task_only
CASE_0126,QA_001,0,0,T1,task_only
CASE_0127,QA_002,0,0,T1,task_only
CASE_0128,QA_002,0,0,T1,task_only
CASE_0129,QA_002,0,0,T1,task_only
CASE_0130,QA_002,1,0,T1,task_only
CASE_0131,QA_002,1,0,T1,task_only
CASE_0132,QA_002,0,0,T1,task_only
CASE_0133,QA_003,0,0,T1,task_only
CASE_0134,QA_003,0,0,T1,task_only
CASE_0135,QA_003,0,0,T1,task_only
CASE_0136,QA_003,1,0,T1,task_only
