Case_ID,Prompt_ID,Task_Type,condition,token_count_reconstructed,chars,whitespace_words,source_available
CASE_0001,SUM_001,summarisation,A,57,308,48,True
CASE_0001,SUM_001,summarisation,B,95,470,73,True
CASE_0001,SUM_001,summarisation,C,167,857,130,True
CASE_0002,SUM_001,summarisation,A,16,78,13,True
CASE_0002,SUM_001,summarisation,B,54,240,38,True
CASE_0002,SUM_001,summarisation,C,126,627,95,True
CASE_0003,SUM_001,summarisation,A,59,321,49,True
CASE_0003,SUM_001,summarisation,B,97,483,74,True
CASE_0003,SUM_001,summarisation,C,169,870,131,True
CASE_0004,SUM_001,summarisation,A,301,1383,231,True
CASE_0004,SUM_001,summarisation,B,339,1545,256,True
CASE_0004,SUM_001,summarisation,C,411,1932,313,True
CASE_0005,SUM_001,summarisation,A,57,278,46,True
CASE_0005,SUM_001,summarisation,B,95,440,71,True
CASE_0005,SUM_001,summarisation,C,167,827,128,True
CASE_0006,SUM_001,summarisation,A,75,424,64,True
CASE_0006,SUM_001,summarisation,B,113,586,89,True
CASE_0006,SUM_001,summarisation,C,185,973,146,True
CASE_0007,SUM_002,summarisation,A,48,250,39,True
CASE_0007,SUM_002,summarisation,B,82,408,60,True
CASE_0007,SUM_002,summarisation,C,152,770,115,True
CASE_0008,SUM_002,summarisation,A,14,67,12,True
CASE_0008,SUM_002,summarisation,B,48,225,33,True
CASE_0008,SUM_002,summarisation,C,118,587,88,True
CASE_0009,SUM_002,summarisation,A,60,340,51,True
CASE_0009,SUM_002,summarisation,B,94,498,72,True
CASE_0009,SUM_002,summarisation,C,164,860,127,True
CASE_0010,SUM_002,summarisation,A,301,1241,202,True
CASE_0010,SUM_002,summarisation,B,335,1399,223,True
CASE_0010,SUM_002,summarisation,C,405,1761,278,True
CASE_0011,SUM_002,summarisation,A,34,161,27,True
CASE_0011,SUM_002,summarisation,B,68,319,48,True
CASE_0011,SUM_002,summarisation,C,138,681,103,True
CASE_0012,SUM_002,summarisation,A,59,311,48,True
CASE_0012,SUM_002,summarisation,B,93,469,69,True
CASE_0012,SUM_002,summarisation,C,163,831,124,True
CASE_0013,SUM_003,summarisation,A,44,256,36,True
CASE_0013,SUM_003,summarisation,B,73,371,53,True
CASE_0013,SUM_003,summarisation,C,132,702,98,True
CASE_0014,SUM_003,summarisation,A,52,302,43,True
CASE_0014,SUM_003,summarisation,B,81,417,60,True
CASE_0014,SUM_003,summarisation,C,140,748,105,True
CASE_0015,SUM_003,summarisation,A,62,377,55,True
CASE_0015,SUM_003,summarisation,B,91,492,72,True
CASE_0015,SUM_003,summarisation,C,150,823,117,True
CASE_0016,SUM_003,summarisation,A,301,1391,237,True
CASE_0016,SUM_003,summarisation,B,330,1506,254,True
CASE_0016,SUM_003,summarisation,C,389,1837,299,True
CASE_0017,SUM_003,summarisation,A,41,240,35,True
CASE_0017,SUM_003,summarisation,B,70,355,52,True
CASE_0017,SUM_003,summarisation,C,129,686,97,True
CASE_0018,SUM_003,summarisation,A,44,262,37,True
CASE_0018,SUM_003,summarisation,B,73,377,54,True
CASE_0018,SUM_003,summarisation,C,132,708,99,True
CASE_0019,SUM_004,summarisation,A,53,288,45,True
CASE_0019,SUM_004,summarisation,B,82,417,63,True
CASE_0019,SUM_004,summarisation,C,140,721,108,True
CASE_0020,SUM_004,summarisation,A,12,44,9,True
CASE_0020,SUM_004,summarisation,B,41,173,27,True
CASE_0020,SUM_004,summarisation,C,99,477,72,True
CASE_0021,SUM_004,summarisation,A,51,274,44,True
CASE_0021,SUM_004,summarisation,B,80,403,62,True
CASE_0021,SUM_004,summarisation,C,138,707,107,True
CASE_0022,SUM_004,summarisation,A,301,1529,230,True
CASE_0022,SUM_004,summarisation,B,330,1658,248,True
CASE_0022,SUM_004,summarisation,C,388,1962,293,True
CASE_0023,SUM_004,summarisation,A,51,275,45,True
CASE_0023,SUM_004,summarisation,B,80,404,63,True
CASE_0023,SUM_004,summarisation,C,138,708,108,True
CASE_0024,SUM_004,summarisation,A,43,217,36,True
CASE_0024,SUM_004,summarisation,B,72,346,54,True
CASE_0024,SUM_004,summarisation,C,130,650,99,True
CASE_0025,SUM_005,summarisation,A,49,257,40,True
CASE_0025,SUM_005,summarisation,B,77,372,56,True
CASE_0025,SUM_005,summarisation,C,136,675,100,True
CASE_0026,SUM_005,summarisation,A,15,59,12,True
CASE_0026,SUM_005,summarisation,B,43,174,28,True
CASE_0026,SUM_005,summarisation,C,102,477,72,True
CASE_0027,SUM_005,summarisation,A,56,299,44,True
CASE_0027,SUM_005,summarisation,B,84,414,60,True
CASE_0027,SUM_005,summarisation,C,143,717,104,True
CASE_0028,SUM_005,summarisation,A,301,1464,219,True
CASE_0028,SUM_005,summarisation,B,329,1579,235,True
CASE_0028,SUM_005,summarisation,C,388,1882,279,True
CASE_0029,SUM_005,summarisation,A,103,469,72,True
CASE_0029,SUM_005,summarisation,B,131,584,88,True
CASE_0029,SUM_005,summarisation,C,190,887,132,True
CASE_0030,SUM_005,summarisation,A,31,167,23,True
CASE_0030,SUM_005,summarisation,B,59,282,39,True
CASE_0030,SUM_005,summarisation,C,118,585,83,True
CASE_0031,SUM_006,summarisation,A,53,276,44,True
CASE_0031,SUM_006,summarisation,B,84,404,64,True
CASE_0031,SUM_006,summarisation,C,149,715,112,True
CASE_0032,SUM_006,summarisation,A,58,282,46,True
CASE_0032,SUM_006,summarisation,B,89,410,66,True
CASE_0032,SUM_006,summarisation,C,154,721,114,True
CASE_0033,SUM_006,summarisation,A,73,384,61,True
CASE_0033,SUM_006,summarisation,B,104,512,81,True
CASE_0033,SUM_006,summarisation,C,169,823,129,True
CASE_0034,SUM_006,summarisation,A,301,1273,206,True
CASE_0034,SUM_006,summarisation,B,332,1401,226,True
CASE_0034,SUM_006,summarisation,C,397,1712,274,True
CASE_0035,SUM_006,summarisation,A,51,256,43,True
CASE_0035,SUM_006,summarisation,B,82,384,63,True
CASE_0035,SUM_006,summarisation,C,147,695,111,True
