Case_ID,Prompt_ID,Task_Type,Fold,Generator_Stratum,y_true,standard_m1_pred,dual_blocked_pred,target
CASE_0001,SUM_001,summarisation,3,0,0,1,1,T1
CASE_0002,SUM_001,summarisation,3,1,1,1,1,T1
CASE_0003,SUM_001,summarisation,3,2,0,1,1,T1
CASE_0004,SUM_001,summarisation,3,3,1,1,1,T1
CASE_0005,SUM_001,summarisation,3,4,1,1,1,T1
CASE_0006,SUM_001,summarisation,3,5,1,1,1,T1
CASE_0007,SUM_002,summarisation,4,0,1,1,1,T1
CASE_0008,SUM_002,summarisation,4,1,1,1,1,T1
CASE_0009,SUM_002,summarisation,4,2,0,1,1,T1
CASE_0010,SUM_002,summarisation,4,3,1,1,1,T1
CASE_0011,SUM_002,summarisation,4,4,1,1,1,T1
CASE_0012,SUM_002,summarisation,4,5,0,1,1,T1
CASE_0013,SUM_003,summarisation,1,0,0,1,1,T1
CASE_0014,SUM_003,summarisation,1,1,1,1,1,T1
CASE_0015,SUM_003,summarisation,1,2,0,1,1,T1
CASE_0016,SUM_003,summarisation,1,3,1,1,1,T1
CASE_0017,SUM_003,summarisation,1,4,1,1,1,T1
CASE_0018,SUM_003,summarisation,1,5,0,1,1,T1
CASE_0019,SUM_004,summarisation,2,0,0,1,1,T1
CASE_0020,SUM_004,summarisation,2,1,1,1,1,T1
CASE_0021,SUM_004,summarisation,2,2,0,1,1,T1
CASE_0022,SUM_004,summarisation,2,3,1,1,1,T1
CASE_0023,SUM_004,summarisation,2,4,1,1,1,T1
CASE_0024,SUM_004,summarisation,2,5,0,1,1,T1
CASE_0025,SUM_005,summarisation,4,0,0,1,1,T1
CASE_0026,SUM_005,summarisation,4,1,1,1,1,T1
CASE_0027,SUM_005,summarisation,4,2,0,1,1,T1
CASE_0028,SUM_005,summarisation,4,3,1,1,1,T1
CASE_0029,SUM_005,summarisation,4,4,1,1,1,T1
CASE_0030,SUM_005,summarisation,4,5,1,1,1,T1
CASE_0031,SUM_006,summarisation,3,0,1,1,1,T1
CASE_0032,SUM_006,summarisation,3,1,1,1,1,T1
CASE_0033,SUM_006,summarisation,3,2,0,1,1,T1
CASE_0034,SUM_006,summarisation,3,3,1,1,1,T1
CASE_0035,SUM_006,summarisation,3,4,1,1,1,T1
CASE_0036,SUM_006,summarisation,3,5,0,1,1,T1
CASE_0037,SUM_007,summarisation,1,0,1,1,1,T1
