source_file,Case_ID,Prompt_ID,Task_Type,Fold,y_true,template,permutation,M4_pred,M4_code,M4_code_scores,M4_score_margin
OOF_M4_SENS_T1_P1_identity.csv,CASE_0001,SUM_001,summarisation,3,0,P1,identity,0,A,"{""A"": -1.0132738680113107e-05, ""B"": -11.50001049041748}",11.5
OOF_M4_SENS_T1_P1_identity.csv,CASE_0002,SUM_001,summarisation,3,1,P1,identity,1,B,"{""A"": -12.406253814697266, ""B"": -4.0531076592742465e-06}",12.40625
OOF_M4_SENS_T1_P1_identity.csv,CASE_0003,SUM_001,summarisation,3,0,P1,identity,0,A,"{""A"": -1.4781842764932662e-05, ""B"": -11.125014305114746}",11.125
OOF_M4_SENS_T1_P1_identity.csv,CASE_0004,SUM_001,summarisation,3,1,P1,identity,1,B,"{""A"": -3.8955419063568115, ""B"": -0.020541900768876076}",3.875
OOF_M4_SENS_T1_P1_identity.csv,CASE_0005,SUM_001,summarisation,3,1,P1,identity,1,B,"{""A"": -14.281250953674316, ""B"": -5.960462772236497e-07}",14.28125
OOF_M4_SENS_T1_P1_identity.csv,CASE_0006,SUM_001,summarisation,3,1,P1,identity,0,A,"{""A"": -0.025501256808638573, ""B"": -3.681751251220703}",3.65625
OOF_M4_SENS_T1_P1_identity.csv,CASE_0007,SUM_002,summarisation,4,1,P1,identity,0,A,"{""A"": -3.218599158572033e-05, ""B"": -10.343782424926758}",10.34375
OOF_M4_SENS_T1_P1_identity.csv,CASE_0008,SUM_002,summarisation,4,1,P1,identity,1,B,"{""A"": -9.625065803527832, ""B"": -6.603976362384856e-05}",9.625
OOF_M4_SENS_T1_P1_identity.csv,CASE_0009,SUM_002,summarisation,4,0,P1,identity,0,A,"{""A"": 0.0, ""B"": -18.5625}",18.5625
OOF_M4_SENS_T1_P1_identity.csv,CASE_0010,SUM_002,summarisation,4,1,P1,identity,1,B,"{""A"": -7.9690961837768555, ""B"": -0.00034600470098666847}",7.96875
OOF_M4_SENS_T1_P1_identity.csv,CASE_0011,SUM_002,summarisation,4,1,P1,identity,1,B,"{""A"": -14.218750953674316, ""B"": -7.152555099310121e-07}",14.21875
OOF_M4_SENS_T1_P1_identity.csv,CASE_0012,SUM_002,summarisation,4,0,P1,identity,0,A,"{""A"": 0.0, ""B"": -19.5625}",19.5625
OOF_M4_SENS_T1_P1_identity.csv,CASE_0013,SUM_003,summarisation,1,0,P1,identity,0,A,"{""A"": 0.0, ""B"": -18.5625}",18.5625
OOF_M4_SENS_T1_P1_identity.csv,CASE_0014,SUM_003,summarisation,1,1,P1,identity,0,A,"{""A"": -1.1920928244535389e-07, ""B"": -16.28125}",16.28125
OOF_M4_SENS_T1_P1_identity.csv,CASE_0015,SUM_003,summarisation,1,0,P1,identity,0,A,"{""A"": 0.0, ""B"": -17.28125}",17.28125
OOF_M4_SENS_T1_P1_identity.csv,CASE_0016,SUM_003,summarisation,1,1,P1,identity,1,B,"{""A"": -6.439099311828613, ""B"": -0.001599105424247682}",6.4375
OOF_M4_SENS_T1_P1_identity.csv,CASE_0017,SUM_003,summarisation,1,1,P1,identity,1,B,"{""A"": -12.68750286102295, ""B"": -3.099436753473128e-06}",12.6875
OOF_M4_SENS_T1_P1_identity.csv,CASE_0018,SUM_003,summarisation,1,0,P1,identity,0,A,"{""A"": 0.0, ""B"": -19.90625}",19.90625
OOF_M4_SENS_T1_P1_identity.csv,CASE_0019,SUM_004,summarisation,2,0,P1,identity,0,A,"{""A"": -1.1920928244535389e-07, ""B"": -16.125}",16.125
OOF_M4_SENS_T1_P1_identity.csv,CASE_0020,SUM_004,summarisation,2,1,P1,identity,1,B,"{""A"": -6.033649444580078, ""B"": -0.002399662509560585}",6.03125
OOF_M4_SENS_T1_P1_identity.csv,CASE_0021,SUM_004,summarisation,2,0,P1,identity,0,A,"{""A"": 0.0, ""B"": -20.71875}",20.71875
OOF_M4_SENS_T1_P1_identity.csv,CASE_0022,SUM_004,summarisation,2,1,P1,identity,0,A,"{""A"": -0.00945719238370657, ""B"": -4.665707111358643}",4.65625
OOF_M4_SENS_T1_P1_identity.csv,CASE_0023,SUM_004,summarisation,2,1,P1,identity,1,B,"{""A"": -12.343754768371582, ""B"": -4.410734163684538e-06}",12.34375
OOF_M4_SENS_T1_P1_identity.csv,CASE_0024,SUM_004,summarisation,2,0,P1,identity,0,A,"{""A"": 0.0, ""B"": -18.9375}",18.9375
OOF_M4_SENS_T1_P1_identity.csv,CASE_0025,SUM_005,summarisation,4,0,P1,identity,0,A,"{""A"": 0.0, ""B"": -21.375}",21.375
OOF_M4_SENS_T1_P1_identity.csv,CASE_0026,SUM_005,summarisation,4,1,P1,identity,0,A,"{""A"": -0.05832047387957573, ""B"": -2.8708205223083496}",2.8125
OOF_M4_SENS_T1_P1_identity.csv,CASE_0027,SUM_005,summarisation,4,0,P1,identity,0,A,"{""A"": 0.0, ""B"": -22.21875}",22.21875
OOF_M4_SENS_T1_P1_identity.csv,CASE_0028,SUM_005,summarisation,4,1,P1,identity,0,A,"{""A"": -2.0146166207268834e-05, ""B"": -10.812520027160645}",10.8125
OOF_M4_SENS_T1_P1_identity.csv,CASE_0029,SUM_005,summarisation,4,1,P1,identity,1,B,"{""A"": -15.75, ""B"": -1.1920928244535389e-07}",15.75
OOF_M4_SENS_T1_P1_identity.csv,CASE_0030,SUM_005,summarisation,4,1,P1,identity,0,A,"{""A"": 0.0, ""B"": -21.5625}",21.5625
OOF_M4_SENS_T1_P1_identity.csv,CASE_0031,SUM_006,summarisation,3,1,P1,identity,0,A,"{""A"": 0.0, ""B"": -18.90625}",18.90625
OOF_M4_SENS_T1_P1_identity.csv,CASE_0032,SUM_006,summarisation,3,1,P1,identity,0,A,"{""A"": 0.0, ""B"": -20.5}",20.5
OOF_M4_SENS_T1_P1_identity.csv,CASE_0033,SUM_006,summarisation,3,0,P1,identity,0,A,"{""A"": 0.0, ""B"": -18.65625}",18.65625
OOF_M4_SENS_T1_P1_identity.csv,CASE_0034,SUM_006,summarisation,3,1,P1,identity,1,B,"{""A"": -10.18753719329834, ""B"": -3.766942609217949e-05}",10.1875
OOF_M4_SENS_T1_P1_identity.csv,CASE_0035,SUM_006,summarisation,3,1,P1,identity,1,B,"{""A"": -13.437500953674316, ""B"": -1.4305104514278355e-06}",13.4375
OOF_M4_SENS_T1_P1_identity.csv,CASE_0036,SUM_006,summarisation,3,0,P1,identity,0,A,"{""A"": -5.722029527532868e-06, ""B"": -12.062505722045898}",12.0625
OOF_M4_SENS_T1_P1_identity.csv,CASE_0037,SUM_007,summarisation,1,1,P1,identity,1,B,"{""A"": -7.344396591186523, ""B"": -0.0006463822210207582}",7.34375
OOF_M4_SENS_T1_P1_identity.csv,CASE_0038,SUM_007,summarisation,1,1,P1,identity,1,B,"{""A"": -12.031255722045898, ""B"": -5.960446742392378e-06}",12.03125
OOF_M4_SENS_T1_P1_identity.csv,CASE_0039,SUM_007,summarisation,1,1,P1,identity,0,A,"{""A"": -0.07428312301635742, ""B"": -2.6367831230163574}",2.5625
OOF_M4_SENS_T1_P1_identity.csv,CASE_0040,SUM_007,summarisation,1,1,P1,identity,1,B,"{""A"": -6.345506191253662, ""B"": -0.0017561980057507753}",6.34375
