source_file,Case_ID,Prompt_ID,Task_Type,Fold,y_true,template,permutation,M4_pred,M4_code,M4_code_scores,M4_score_margin
OOF_M4_SENS_T4_P1_identity.csv,CASE_0002,SUM_001,summarisation,3,2,P1,identity,1,A,"{""A"": -0.5327590703964233, ""B"": -2.064009189605713, ""C"": -1.2515090703964233}",0.71875
OOF_M4_SENS_T4_P1_identity.csv,CASE_0004,SUM_001,summarisation,3,3,P1,identity,3,C,"{""A"": -3.9877116680145264, ""B"": -8.331461906433105, ""C"": -0.018961595371365547}",3.96875
OOF_M4_SENS_T4_P1_identity.csv,CASE_0005,SUM_001,summarisation,3,3,P1,identity,3,C,"{""A"": -9.631780624389648, ""B"": -5.006781101226807, ""C"": -0.0067809466272592545}",5.0
OOF_M4_SENS_T4_P1_identity.csv,CASE_0006,SUM_001,summarisation,3,1,P1,identity,1,A,"{""A"": -0.09569723159074783, ""B"": -2.4081971645355225, ""C"": -6.658197402954102}",2.3125
OOF_M4_SENS_T4_P1_identity.csv,CASE_0007,SUM_002,summarisation,4,1,P1,identity,1,A,"{""A"": -0.001933254417963326, ""B"": -6.2519330978393555, ""C"": -12.283183097839355}",6.25
OOF_M4_SENS_T4_P1_identity.csv,CASE_0008,SUM_002,summarisation,4,2,P1,identity,3,C,"{""A"": -3.8516488075256348, ""B"": -2.0391488075256348, ""C"": -0.1641487181186676}",1.8750001192092896
OOF_M4_SENS_T4_P1_identity.csv,CASE_0010,SUM_002,summarisation,4,3,P1,identity,3,C,"{""A"": -5.566440105438232, ""B"": -9.12894058227539, ""C"": -0.003940319176763296}",5.5625
OOF_M4_SENS_T4_P1_identity.csv,CASE_0011,SUM_002,summarisation,4,3,P1,identity,3,C,"{""A"": -7.807870388031006, ""B"": -1.9641205072402954, ""C"": -0.151620551943779}",1.8125
OOF_M4_SENS_T4_P1_identity.csv,CASE_0014,SUM_003,summarisation,1,2,P1,identity,1,A,"{""A"": -3.576278118089249e-07, ""B"": -17.71875, ""C"": -14.71875}",14.71875
OOF_M4_SENS_T4_P1_identity.csv,CASE_0016,SUM_003,summarisation,1,3,P1,identity,3,C,"{""A"": -4.018282890319824, ""B"": -8.924532890319824, ""C"": -0.0182830560952425}",3.999999761581421
OOF_M4_SENS_T4_P1_identity.csv,CASE_0017,SUM_003,summarisation,1,3,P1,identity,2,B,"{""A"": -2.873967170715332, ""B"": -0.12396720796823502, ""C"": -2.811467170715332}",2.6875
OOF_M4_SENS_T4_P1_identity.csv,CASE_0020,SUM_004,summarisation,2,2,P1,identity,1,A,"{""A"": -0.05732755735516548, ""B"": -4.932327747344971, ""C"": -3.0260775089263916}",2.96875
OOF_M4_SENS_T4_P1_identity.csv,CASE_0022,SUM_004,summarisation,2,3,P1,identity,1,A,"{""A"": -0.018155112862586975, ""B"": -12.174405097961426, ""C"": -4.018155097961426}",4.0
OOF_M4_SENS_T4_P1_identity.csv,CASE_0023,SUM_004,summarisation,2,3,P1,identity,3,C,"{""A"": -8.238930702209473, ""B"": -3.9264304637908936, ""C"": -0.020180383697152138}",3.90625
OOF_M4_SENS_T4_P1_identity.csv,CASE_0026,SUM_005,summarisation,4,2,P1,identity,1,A,"{""A"": -8.332382276421413e-05, ""B"": -10.218832969665527, ""C"": -9.968832969665527}",9.96875
OOF_M4_SENS_T4_P1_identity.csv,CASE_0028,SUM_005,summarisation,4,3,P1,identity,1,A,"{""A"": -2.5152843591058627e-05, ""B"": -14.000024795532227, ""C"": -10.625024795532227}",10.625
OOF_M4_SENS_T4_P1_identity.csv,CASE_0029,SUM_005,summarisation,4,3,P1,identity,3,C,"{""A"": -11.502486228942871, ""B"": -6.002485752105713, ""C"": -0.0024857595562934875}",6.0
OOF_M4_SENS_T4_P1_identity.csv,CASE_0030,SUM_005,summarisation,4,1,P1,identity,1,A,"{""A"": -1.1920928244535389e-07, ""B"": -16.28125, ""C"": -17.53125}",16.28125
OOF_M4_SENS_T4_P1_identity.csv,CASE_0031,SUM_006,summarisation,3,1,P1,identity,1,A,"{""A"": -8.106198947643861e-06, ""B"": -11.750007629394531, ""C"": -15.531257629394531}",11.75
OOF_M4_SENS_T4_P1_identity.csv,CASE_0032,SUM_006,summarisation,3,2,P1,identity,1,A,"{""A"": -1.0728830375228426e-06, ""B"": -16.750001907348633, ""C"": -13.781250953674316}",13.78125
OOF_M4_SENS_T4_P1_identity.csv,CASE_0034,SUM_006,summarisation,3,3,P1,identity,3,C,"{""A"": -4.975680351257324, ""B"": -12.881930351257324, ""C"": -0.006930361036211252}",4.96875
OOF_M4_SENS_T4_P1_identity.csv,CASE_0035,SUM_006,summarisation,3,2,P1,identity,2,B,"{""A"": -4.210055828094482, ""B"": -0.6475558280944824, ""C"": -0.7725558280944824}",0.125
OOF_M4_SENS_T4_P1_identity.csv,CASE_0037,SUM_007,summarisation,1,2,P1,identity,1,A,"{""A"": -0.15160733461380005, ""B"": -2.1516072750091553, ""C"": -3.7141072750091553}",2.0
OOF_M4_SENS_T4_P1_identity.csv,CASE_0038,SUM_007,summarisation,1,2,P1,identity,3,C,"{""A"": -4.668954849243164, ""B"": -5.731454849243164, ""C"": -0.012704744003713131}",4.65625
OOF_M4_SENS_T4_P1_identity.csv,CASE_0039,SUM_007,summarisation,1,2,P1,identity,1,A,"{""A"": -0.010703534819185734, ""B"": -4.5732035636901855, ""C"": -8.041953086853027}",4.5625
OOF_M4_SENS_T4_P1_identity.csv,CASE_0040,SUM_007,summarisation,1,3,P1,identity,3,C,"{""A"": -2.4354963302612305, ""B"": -9.12299633026123, ""C"": -0.09174633026123047}",2.34375
OOF_M4_SENS_T4_P1_identity.csv,CASE_0041,SUM_007,summarisation,1,3,P1,identity,3,C,"{""A"": -7.135860443115234, ""B"": -4.604610443115234, ""C"": -0.010860382579267025}",4.59375
OOF_M4_SENS_T4_P1_identity.csv,CASE_0043,SUM_008,summarisation,2,1,P1,identity,1,A,"{""A"": -1.07287787614041e-05, ""B"": -11.46876049041748, ""C"": -15.21876049041748}",11.46875
OOF_M4_SENS_T4_P1_identity.csv,CASE_0044,SUM_008,summarisation,2,2,P1,identity,1,A,"{""A"": -0.04067260026931763, ""B"": -5.321922779083252, ""C"": -3.353172540664673}",3.3125
OOF_M4_SENS_T4_P1_identity.csv,CASE_0046,SUM_008,summarisation,2,3,P1,identity,3,C,"{""A"": -1.0974832773208618, ""B"": -5.941233158111572, ""C"": -0.40998324751853943}",0.6875
OOF_M4_SENS_T4_P1_identity.csv,CASE_0047,SUM_008,summarisation,2,3,P1,identity,3,C,"{""A"": -7.627415657043457, ""B"": -6.252415657043457, ""C"": -0.002415598137304187}",6.25
OOF_M4_SENS_T4_P1_identity.csv,CASE_0048,SUM_008,summarisation,2,1,P1,identity,1,A,"{""A"": -0.0007428746903315187, ""B"": -7.2194929122924805, ""C"": -11.46949291229248}",7.21875
OOF_M4_SENS_T4_P1_identity.csv,CASE_0050,SUM_009,summarisation,0,2,P1,identity,1,A,"{""A"": -9.536738616588991e-07, ""B"": -15.781250953674316, ""C"": -14.062500953674316}",14.0625
OOF_M4_SENS_T4_P1_identity.csv,CASE_0051,SUM_009,summarisation,0,1,P1,identity,1,A,"{""A"": -2.4318398573086597e-05, ""B"": -10.65627384185791, ""C"": -14.21877384185791}",10.65625
