experiment_or_claim,status,primary_input,code_or_notebook,primary_output,R14_location,exactness_boundary
Human pre-resolution nominal IAA,Reportable,Locked A1/A2/A3 ratings,code/annotation/06_human_reliability.py; code/annotation/06b_human_reliability_from_gold.py,data/annotation/locked_core_ratings/recomputed_core_iaa_point_estimates.csv,Main Table 7; Supplement Table S14,Pre-resolution human layer only; adjudicated Final fields excluded
Human ordinal-severity reliability,Reportable,Locked A1/A2/A3 ratings,code/annotation/06_human_reliability.py,Frozen/recomputed severity agreement outputs,Main Table 9; Supplement Tables S18/S18A/S18B,Pre-resolution ratings only
Pair-specific human reliability,Post-hoc diagnostic,Locked A1/A2/A3 ratings,code/followup/P2_IPM_PAIR_SPECIFIC_HUMAN_RELIABILITY.py,results/followup/P2_IPM_PAIR_SPECIFIC_HUMAN_RELIABILITY.csv,Supplement Tables S14B/S18B,Descriptive complement to three-rater estimands
Senior-adjudication queue audit,Workflow/provenance,Locked A1/A2/A3 structured fields,code/followup/P2_IPM_PAIR_SPECIFIC_HUMAN_RELIABILITY.py,results/followup/P2_IPM_ADJUDICATION_QUEUE_RULE_AUDIT.csv,Main Section 3.7/Table 4; Supplement Tables S22-S23,Mechanically reproduces 423 queued + 297 complete-agreement cases
FINAL GOLD v1.0 freeze,Reportable,Senior adjudication + targeted re-review + deterministic clerical normalization,code/annotation/05_validate_annotations.py,data/frozen/P2_FINAL_SENIOR_ADJUDICATED_GOLD_v1.0.xlsx,Main Section 5.4/Table 4 provenance; Supplement Tables S12-S20B,Frozen publication reference layer
Explicit-ambiguity exclusion,Post-hoc sensitivity,Locked A1/A2/A3 ratings,code/followup/P2_IPM_AMBIGUITY_EXCLUSION_SENSITIVITY.py,results/followup/P2_IPM_AMBIGUITY_EXCLUSION_SENSITIVITY.csv,Supplement Tables S16/S16A,No adjudicated fields or model predictions enter
Computational-semantics structure diagnostics,Post-hoc descriptive,FINAL GOLD v1.0,code/followup/P2_IPM_COMPUTATIONAL_SEMANTICS_STRUCTURE_DIAGNOSTICS.py,results/followup/P2_IPM_COMPUTATIONAL_SEMANTICS_ASSOCIATION_SUMMARY.csv; results/followup/P2_IPM_T3_FAMILY_BY_GROUNDING_CROSSTAB.csv; results/followup/P2_IPM_TASK_BY_MECHANISM_FAMILY_CROSSTAB.csv,Main Section 5.6; Supplement Tables S20A-S20B,Descriptive construct-structure analysis; no relabelling
M0 majority baseline,Reportable,Frozen OOF/folds,code/analysis/P2_54_Colab_01_Verify_Completed_Experiments.ipynb,Frozen baseline OOF + metrics,Main Table 10; Supplement Table S35,Exact numerical reproduction from archived OOF
M1 TF-IDF + LinearSVC,Reportable,Frozen OOF/folds,code/analysis/P2_54_Colab_01_Verify_Completed_Experiments.ipynb,Frozen baseline OOF + metrics,Main Table 10; Supplement Table S35,Exact paper numbers from OOF; original historical trainer not retained
M2 SVD + logistic regression,Reportable,Frozen OOF/folds,code/analysis/P2_54_Colab_01_Verify_Completed_Experiments.ipynb,Frozen baseline OOF + metrics,Main Table 10; Supplement Table S35,Exact paper numbers from OOF; original historical trainer not retained
