Case_ID,Prompt_ID,y_true,pred,probe
CASE_0001,SUM_001,0,4,word
CASE_0002,SUM_001,1,4,word
CASE_0003,SUM_001,2,4,word
CASE_0004,SUM_001,3,3,word
CASE_0005,SUM_001,4,4,word
CASE_0006,SUM_001,5,4,word
CASE_0007,SUM_002,0,2,word
CASE_0008,SUM_002,1,1,word
CASE_0009,SUM_002,2,2,word
CASE_0010,SUM_002,3,3,word
CASE_0011,SUM_002,4,2,word
CASE_0012,SUM_002,5,2,word
CASE_0013,SUM_003,0,2,word
CASE_0014,SUM_003,1,2,word
CASE_0015,SUM_003,2,5,word
CASE_0016,SUM_003,3,3,word
CASE_0017,SUM_003,4,4,word
CASE_0018,SUM_003,5,2,word
CASE_0019,SUM_004,0,5,word
CASE_0020,SUM_004,1,1,word
CASE_0021,SUM_004,2,1,word
CASE_0022,SUM_004,3,3,word
CASE_0023,SUM_004,4,4,word
CASE_0024,SUM_004,5,4,word
CASE_0025,SUM_005,0,0,word
CASE_0026,SUM_005,1,4,word
CASE_0027,SUM_005,2,2,word
CASE_0028,SUM_005,3,3,word
CASE_0029,SUM_005,4,4,word
CASE_0030,SUM_005,5,1,word
CASE_0031,SUM_006,0,2,word
CASE_0032,SUM_006,1,2,word
CASE_0033,SUM_006,2,5,word
CASE_0034,SUM_006,3,3,word
CASE_0035,SUM_006,4,0,word
CASE_0036,SUM_006,5,5,word
CASE_0037,SUM_007,0,4,word
CASE_0038,SUM_007,1,4,word
CASE_0039,SUM_007,2,4,word
CASE_0040,SUM_007,3,3,word
CASE_0041,SUM_007,4,4,word
CASE_0042,SUM_007,5,4,word
CASE_0043,SUM_008,0,2,word
CASE_0044,SUM_008,1,1,word
CASE_0045,SUM_008,2,2,word
CASE_0046,SUM_008,3,3,word
CASE_0047,SUM_008,4,4,word
CASE_0048,SUM_008,5,1,word
CASE_0049,SUM_009,0,0,word
CASE_0050,SUM_009,1,3,word
CASE_0051,SUM_009,2,2,word
CASE_0052,SUM_009,3,3,word
CASE_0053,SUM_009,4,3,word
CASE_0054,SUM_009,5,3,word
CASE_0055,SUM_010,0,0,word
CASE_0056,SUM_010,1,5,word
CASE_0057,SUM_010,2,2,word
CASE_0058,SUM_010,3,4,word
CASE_0059,SUM_010,4,4,word
CASE_0060,SUM_010,5,2,word
CASE_0061,SUM_011,0,5,word
CASE_0062,SUM_011,1,1,word
CASE_0063,SUM_011,2,5,word
CASE_0064,SUM_011,3,2,word
CASE_0065,SUM_011,4,4,word
CASE_0066,SUM_011,5,3,word
CASE_0067,SUM_012,0,5,word
CASE_0068,SUM_012,1,0,word
CASE_0069,SUM_012,2,0,word
CASE_0070,SUM_012,3,3,word
CASE_0071,SUM_012,4,4,word
CASE_0072,SUM_012,5,0,word
CASE_0073,SUM_013,0,2,word
CASE_0074,SUM_013,1,1,word
CASE_0075,SUM_013,2,5,word
CASE_0076,SUM_013,3,3,word
CASE_0077,SUM_013,4,4,word
CASE_0078,SUM_013,5,5,word
CASE_0079,SUM_014,0,0,word
CASE_0080,SUM_014,1,2,word
CASE_0081,SUM_014,2,4,word
CASE_0082,SUM_014,3,3,word
CASE_0083,SUM_014,4,4,word
