representation,rank,prompt_1,prompt_2,fold_1,fold_2,semantic_cosine,task_1,task_2,text_1,text_2,manual_classification,manual_note
prompt_only,1,QA_001,QA_020,3,1,0.79684978723526,question_answering,question_answering,"Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: When did the community garden open, and why were fruit trees delayed?","Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: Which crop was planted after the early potatoes were harvested?",distinct_task_instance_shared_template,High similarity is driven predominantly by a shared QA/summarisation instruction template; substantive question differs.
prompt_only,2,QA_010,QA_017,3,1,0.7876372933387756,question_answering,question_answering,"Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: Why was the river route cancelled?","Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: When did the late bus service end?",distinct_task_instance_shared_template,High similarity is driven predominantly by a shared QA/summarisation instruction template; substantive question differs.
prompt_only,3,SUM_006,SUM_011,3,0,0.7713524699211121,summarisation,summarisation,Summarise the source in two sentences. Preserve the pilot nature of the project and the evidence still needed.,Summarise the source in two sentences. Preserve the evidence and the proposed response.,distinct_task_instance_shared_template,High similarity is driven predominantly by a shared QA/summarisation instruction template; substantive question differs.
prompt_only,4,QA_016,QA_017,0,1,0.7457910776138306,question_answering,question_answering,"Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: Which event happens at noon?","Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: When did the late bus service end?",distinct_task_instance_shared_template,High similarity is driven predominantly by a shared QA/summarisation instruction template; substantive question differs.
prompt_only,5,QA_010,QA_016,3,0,0.7443225979804993,question_answering,question_answering,"Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: Why was the river route cancelled?","Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: Which event happens at noon?",distinct_task_instance_shared_template,High similarity is driven predominantly by a shared QA/summarisation instruction template; substantive question differs.
prompt_only,6,QA_001,QA_017,3,1,0.7364563941955566,question_answering,question_answering,"Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: When did the community garden open, and why were fruit trees delayed?","Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: When did the late bus service end?",distinct_task_instance_shared_template,High similarity is driven predominantly by a shared QA/summarisation instruction template; substantive question differs.
prompt_only,7,QA_015,QA_017,3,1,0.7279579639434814,question_answering,question_answering,"Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: Which improvement was delayed and why?","Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: When did the late bus service end?",distinct_task_instance_shared_template,High similarity is driven predominantly by a shared QA/summarisation instruction template; substantive question differs.
prompt_only,8,QA_010,QA_018,3,1,0.7239548563957214,question_answering,question_answering,"Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: Why was the river route cancelled?","Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: What did green boxes indicate?",distinct_task_instance_shared_template,High similarity is driven predominantly by a shared QA/summarisation instruction template; substantive question differs.
prompt_only,9,QA_015,QA_018,3,1,0.7230868339538574,question_answering,question_answering,"Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: Which improvement was delayed and why?","Answer the question using only the information in the passage. If the answer is not stated, say 'not stated'. Question: What did green boxes indicate?",distinct_task_instance_shared_template,High similarity is driven predominantly by a shared QA/summarisation instruction template; substantive question differs.
prompt_only,10,SUM_003,SUM_009,1,0,0.7186806201934814,summarisation,summarisation,"Summarise the source in two sentences. Keep the benefit, the concern, and the planned compromise.",Summarise the source in two sentences. Keep the positive outcome and the operational concern.,distinct_task_instance_shared_template,High similarity is driven predominantly by a shared QA/summarisation instruction template; substantive question differs.
